273K: 1=dg3375-07 2=dg3375-05 3=dg3375-06 4=ep855-08 5=ep855-09
# species       # reactions     # init conditions 
4               3               5
# samples       tmin    tmax    iobs 	prt skip t 
100000		0.0	140  	688	250 
output flag log flag case flag  ipred
3           0        1          0
lsq criteria:	eps	tol	imax
		1d-9	1d-9	80
'T  '   't0 '   '1'	'2E'   'cat'	'cmpx'	
273.0	0.0	0.1785	0.0275	1.48E-4	3.00E-4
0	0	0	0	0	0	
273.0	0.0	0.1965  0.0408  1.19E-4 2.90E-4
0	0	0	0	0	0	
273.0	0.0	0.1729  0.0626  1.32E-4 2.67E-4
0	0	0	0	0	0	
273.0	0.0	0.1531  0.0495  1.14E-4 2.53E-4
0	0	0	0	0	0	
273.0	0.0	0.1591  0.0391  1.38E-4 2.76E-4
0	0	0	0	0	0	
                1	1	1	1	0    these are flags for printing
k name, k, ifit, ktp, ktx, # species, species # (1 line ea. fwd and rev rxns)
'k1 '   370.0     1      0       0       2	1	3	1 + cat <-> 2E
'k-1'     0.0     0      0       0       1	4
'k2 '    15.95    1      0       0       1	4               cmpx <-> 2E + cat
'k-2'     0.0     0      0       0       2	2	3
'k3 '   1.00d-16  0      0       0       1	1               1 <-> 2E 
'k-3'   3.18d-3   1      0       0       1	2	
2       2       76      0.233307114478959       0.00233307114479
2       2       80      0.233380649481201       0.002333806494812
2       2       84      0.233484098517665       0.002334840985177
2       2       88      0.23350635163795        0.00233506351638
2       2       92      0.233512079790059       0.002335120797901
2       2       96      0.23351851580467        0.002335185158047
2       2       100     0.233498591391412       0.002334985913914
2       2       104     0.23368786305184        0.002336878630518
2       2       108     0.233606069692002       0.00233606069692
2       2       112     0.233611952956255       0.002336119529563
2       2       116     0.23359090749735        0.002335909074974
2       2       120     0.233621394588942       0.002336213945889
2       2       124     0.233683089483448       0.002336830894834
2       2       128     0.233659910125908       0.002336599101259
2       2       132     0.233628525943878       0.002336285259439
2       2       136     0.23362085495821        0.002336208549582
2       3       4       0.000132420693427       4E-06
2       3       8       0.000142452303618       4E-06
2       3       12      0.000153437303173       4E-06
2       3       16      0.00016786012263        4E-06
2       3       20      0.000183183189993       4E-06
2       3       24      0.000193030196034       4E-06
2       3       28      0.000211781663038       4E-06
2       3       32      0.00022331498538        4E-06
2       3       36      0.000259195395483       4E-06
2       3       40      0.000263090841313       4E-06
2       3       44      0.000288273404877       4E-06
2       3       48      0.000307321064157       4E-06
2       3       52      0.000323046653945       4E-06
2       3       56      0.000327957962595       4E-06
2       3       60      0.000338101345157       4E-06
2       3       64      0.000340849845903       4E-06
2       3       68      0.000325413689108       4E-06
2       3       72      0.000335436965684       4E-06
2       3       76      0.000345305466695       4E-06
2       3       80      0.000347784299319       4E-06
2       3       84      0.000346830797601       4E-06
2       3       88      0.000348269007434       4E-06
2       3       92      0.000347986275212       4E-06
2       3       96      0.000336919695691       4E-06
2       3       100     0.000336937490048       4E-06
2       3       104     0.000337769497707       4E-06
2       3       108     0.000351567875943       4E-06
2       3       112     0.000332686865615       4E-06
2       3       116     0.000338086892004       4E-06
2       3       120     0.00034660791358        4E-06
2       3       124     0.000333364142133       4E-06
2       3       128     0.000338048274678       4E-06
2       3       132     0.000336258421287       4E-06
2       3       136     0.000329564346279       4E-06
2       4       4       0.000279663413963       4E-06
2       4       8       0.000278446430311       4E-06
2       4       12      0.000257192108108       4E-06
2       4       16      0.000257999150485       4E-06
2       4       20      0.000236015693545       4E-06
2       4       24      0.000231080148028       4E-06
2       4       28      0.000229556147994       4E-06
2       4       32      0.000198515597482       4E-06
2       4       36      0.000191456922725       4E-06
2       4       40      0.00016931635703        4E-06
2       4       44      0.000148702543322       4E-06
2       4       48      0.000137585616575       4E-06
2       4       52      0.000127669599339       4E-06
2       4       56      0.000115921150887       4E-06
2       4       60      9.64230844606318E-05    4E-06
2       4       64      9.48569036406413E-05    4E-06
2       4       68      9.65324964636527E-05    4E-06
2       4       72      9.37493734529063E-05    4E-06
2       4       76      9.02024787820321E-05    4E-06
2       4       80      9.22950341365847E-05    4E-06
2       4       84      0.000101890460578       4E-06
2       4       88      9.50014488570602E-05    4E-06
2       4       92      8.0215155047603E-05     4E-06
2       4       96      8.38149346575239E-05    4E-06
2       4       100     9.03252151876711E-05    4E-06
2       4       104     9.25662551422175E-05    4E-06
2       4       108     9.71355257039967E-05    4E-06
2       4       112     7.82455384731557E-05    4E-06
2       4       116     9.5374758685928E-05     4E-06
2       4       120     8.89906633099255E-05    4E-06
2       4       124     9.87166200956476E-05    4E-06
2       4       128     8.96957873297337E-05    4E-06
2       4       132     9.13745348157484E-05    4E-06
2       4       136     0.000101376108518       4E-06
3       1       4       0.152376011329959       0.0015237601133
3       1       8       0.132396961252742       0.001323969612527
3       1       12      0.113592420640828       0.001135924206408
3       1       16      0.096001702814266       0.000960017028143
3       1       20      0.079603134797144       0.000796031347971
3       1       24      0.064749530163249       0.000647495301632
3       1       28      0.051431456132044       0.00051431456132
3       1       32      0.039743717473738       0.000397437174737
3       1       36      0.029858311905885       0.000298583119059
3       1       40      0.022055275904755       0.000220552759048
3       1       44      0.015989054211701       0.000159890542117
3       1       48      0.011741703220898       0.000117417032209
3       1       52      0.009086884672352       9.08688467235224E-05
3       1       56      0.00737570631095        7.37570631094977E-05
3       1       60      0.006418237826836       6.41823782683623E-05
3       1       64      0.005752272258704       5.75227225870402E-05
3       1       68      0.005503607936053       5.50360793605264E-05
3       1       72      0.005437267607888       5.4372676078884E-05
3       1       76      0.005329262917238       5.32926291723794E-05
3       1       80      0.005218766924399       5.21876692439932E-05
3       1       84      0.005289077955363       5.28907795536288E-05
3       1       88      0.005174018436346       5.17401843634557E-05
3       1       92      0.005225411353308       5.2254113533079E-05
3       2       4       0.083471285710947       0.000834712857109
3       2       8       0.103231967157547       0.001032319671575
3       2       12      0.122028543736962       0.00122028543737
3       2       16      0.139649770748525       0.001396497707485
3       2       20      0.156135753305102       0.001561357533051
3       2       24      0.170969708785401       0.001709697087854
3       2       28      0.184442741801915       0.001844427418019
3       2       32      0.196073623813425       0.001960736238134
3       2       36      0.20588366620223        0.002058836662022
3       2       40      0.213823431704627       0.002138234317046
3       2       44      0.219877139762734       0.002198771397627
3       2       48      0.224170693817594       0.002241706938176
3       2       52      0.226930791835481       0.002269307918355
3       2       56      0.228595069977177       0.002285950699772
3       2       60      0.229701194470002       0.0022970119447
3       2       64      0.230303074820191       0.002303030748202
3       2       68      0.230464481492985       0.00230464481493
3       2       72      0.230763825320865       0.002307638253209
3       2       76      0.230833466021598       0.002308334660216
3       2       80      0.230912567255808       0.002309125672558
3       2       84      0.230901192126892       0.002309011921269
3       2       88      0.230934209609412       0.002309342096094
3       2       92      0.230880520106931       0.002308805201069
3       3       4       0.000127153255488       4E-06
3       3       8       0.000153198392062       4E-06
3       3       12      0.000155312526528       4E-06
3       3       16      0.000164783713491       4E-06
3       3       20      0.000187012312741       4E-06
3       3       24      0.000189522549008       4E-06
3       3       28      0.000216479917414       4E-06
3       3       32      0.000229665108093       4E-06
3       3       36      0.000246030838907       4E-06
3       3       40      0.000275648491845       4E-06
3       3       44      0.00028809376879        4E-06
3       3       48      0.000292312954302       4E-06
3       3       52      0.000310156218495       4E-06
3       3       56      0.000318018522695       4E-06
3       3       60      0.000311479834521       4E-06
3       3       64      0.000327785986855       4E-06
3       3       68      0.0003232983273 4E-06
3       3       72      0.000336597750669       4E-06
3       3       76      0.000319602502884       4E-06
3       3       80      0.000322926592294       4E-06
3       3       84      0.000336287927449       4E-06
3       3       88      0.000329929811445       4E-06
3       3       92      0.000326173674287       4E-06
3       4       4       0.000268374983607       4E-06
3       4       8       0.000244828978104       4E-06
3       4       12      0.000230331155903       4E-06
3       4       16      0.000227767540835       4E-06
3       4       20      0.000222523077317       4E-06
3       4       24      0.000196504385814       4E-06
3       4       28      0.000184761590396       4E-06
3       4       32      0.000179245363296       4E-06
3       4       36      0.000155969076262       4E-06
3       4       40      0.00014971666521        4E-06
3       4       44      0.000125416968604       4E-06
3       4       48      0.000118159521644       4E-06
3       4       52      0.000102304725308       4E-06
3       4       56      9.55169311728784E-05    4E-06
3       4       60      8.90976104416282E-05    4E-06
3       4       64      7.88750655086352E-05    4E-06
3       4       68      7.91599474672667E-05    4E-06
3       4       72      8.54623926257271E-05    4E-06
3       4       76      8.63695881663131E-05    4E-06
3       4       80      9.05069443153514E-05    4E-06
3       4       84      9.4666663957012E-05     4E-06
3       4       88      7.55485351868634E-05    4E-06
3       4       92      7.7035321854532E-05     4E-06
4       1       2       0.143018205496861       0.001430182054969
4       1       4       0.134194083458123       0.001341940834581
4       1       6       0.126055051131145       0.001260550511311
4       1       8       0.118164595580889       0.001181645955809
4       1       10      0.110583373042004       0.00110583373042
4       1       12      0.103151627026256       0.001031516270263
4       1       14      0.095906139149029       0.00095906139149
4       1       16      0.088812527617745       0.000888125276177
4       1       18      0.082419023403927       0.000824190234039
4       1       20      0.076091264323028       0.00076091264323
4       1       22      0.069860025770129       0.000698600257701
4       1       24      0.063964652104342       0.000639646521043
4       1       26      0.058659924714084       0.000586599247141
4       1       28      0.053212700126342       0.000532127001263
4       1       30      0.048228948891423       0.000482289488914
4       1       32      0.043574044859527       0.000435740448595
4       1       34      0.039111351272096       0.000391113512721
4       1       36      0.034937989609149       0.000349379896091
4       1       38      0.03109944580225        0.000310994458023
4       1       40      0.027683759102637       0.000276837591026
4       1       42      0.024861631331184       0.000248616313312
4       1       44      0.021668267985456       0.000216682679855
4       1       46      0.019120094706105       0.000191200947061
4       1       48      0.016869795963989       0.00016869795964
4       1       50      0.014959306987979       0.00014959306988
4       1       52      0.013310332986858       0.000133103329869
4       1       54      0.011755565766989       0.00011755565767
4       1       56      0.010503731337685       0.000105037313377
4       1       58      0.009310630206671       9.31063020667131E-05
4       1       60      0.008587764403739       8.58776440373938E-05
4       1       62      0.007750110265301       7.75011026530101E-05
4       1       64      0.007065515220814       7.06551522081389E-05
4       1       66      0.006555832114579       6.55583211457942E-05
4       1       68      0.00628225278127        6.28225278126992E-05
4       1       70      0.006050206739119       6.05020673911944E-05
4       1       72      0.005684586093735       5.68458609373522E-05
4       1       74      0.005532651900161       5.53265190016124E-05
4       1       76      0.005378691120226       5.37869112022635E-05
4       1       78      0.005235278788411       5.23527878841067E-05
4       1       80      0.005140252451979       5.14025245197878E-05
4       1       82      0.004978267920067       4.97826792006655E-05
4       1       84      0.005071914201178       5.07191420117815E-05
4       1       86      0.004958893083286       4.95889308328552E-05
4       1       88      0.004882961375846       4.8829613758461E-05
4       1       90      0.00477078652859        4.77078652858968E-05
4       1       92      0.004668133087758       4.66813308775767E-05
4       2       2       0.058350237244735       0.000583502372447
4       2       4       0.066491406635707       0.000664914066357
4       2       6       0.074736673875199       0.000747366738752
4       2       8       0.08257348027209        0.000825734802721
4       2       10      0.090059131742936       0.000900591317429
4       2       12      0.097355036882032       0.00097355036882
